product_name,description
全自动咖啡机,"规格:
大型 - 尺寸：13.8'' x 17.3''。
中型 - 尺寸：11.5'' x 15.2''。

为什么我们热爱它:
这款全自动咖啡机是爱好者的理想选择。 一键操作，即可研磨豆子并沏制出您喜爱的咖啡。它的耐用性和一致性使它成为家庭和办公室的理想选择。

材质与护理:
清洁时只需轻擦。

构造:
由高品质不锈钢制成。

其他特性:
内置研磨器和滤网。
预设多种咖啡模式。
在中国制造。

有问题？ 请随时联系我们的客户服务团队，他们会解答您的所有问题。"
电动牙刷,"规格:
一般大小 - 高度：9.5''，宽度：1''。

为什么我们热爱它:
我们的电动牙刷采用先进的刷头设计和强大的电机，为您提供超凡的清洁力和舒适的刷牙体验。

材质与护理:
不可水洗，只需用湿布清洁。

构造:
由食品级塑料和尼龙刷毛制成。

其他特性:
具有多种清洁模式和定时功能。
USB充电。
在日本制造。

有问题？请随时联系我们的客户服务团队，他们会解答您的所有问题。"
橙味维生素C泡腾片,"规格:
每盒含有20片。

为什么我们热爱它:
我们的橙味维生素C泡腾片是快速补充维生素C的理想方式。每片含有500mg的维生素C，可以帮助提升免疫力，保护您的健康。

材质与护理:
请存放在阴凉干燥的地方，避免阳光直射。

构造:
主要成分为维生素C和柠檬酸钠。

其他特性:
含有天然橙味。
易于携带。
在美国制造。

有问题？请随时联系我们的客户服务团队，他们会解答您的所有问题。"
无线蓝牙耳机,"规格:
单个耳机尺寸：1.5'' x 1.3''。

为什么我们热爱它:
这款无线蓝牙耳机配备了降噪技术和长达8小时的电池续航力，让您无论在哪里都可以享受无障碍的音乐体验。

材质与护理:
只需用湿布清洁。

构造:
由耐用的塑料和金属构成，配备有软质耳塞。

其他特性:
快速充电功能。
内置麦克风，支持接听电话。
在韩国制造。

有问题？请随时联系我们的客户服务团队，他们会解答您的所有问题。"
瑜伽垫,"规格:
尺寸：24'' x 68''。

为什么我们热爱它:
我们的瑜伽垫拥有出色的抓地力和舒适度，无论是做瑜伽还是健身，都是理想的选择。

材质与护理:
可用清水清洁，自然晾干。

构造:
由环保PVC材料制成。

其他特性:
附带便携包和绑带。
在印度制造。

有问题？请随时联系我们的客户服务团队，他们会解答您的所有问题。"
防水运动手表,"规格:
表盘直径：40mm。

为什么我们热爱它:
这款防水运动手表配备了心率监测和计步功能，不仅适合日常佩戴，也是户外运动的理想伙伴。

材质与护理:
只需用湿布清洁。

构造:
由不锈钢和硅胶制成。

其他特性:
内置可充电电池。
支持蓝牙连接手机。
在瑞士制造。

有问题？请随时联系我们的客户服务团队，他们会解答您的所有问题。"
书籍:《机器学习基础》,"规格:
页数：580页。

为什么我们热爱它:
《机器学习基础》以易懂的语言讲解了机器学习的基本概念和方法，适合初学者阅读。

材质与护理:
纸质封面，存放在阴凉干燥处。

构造:
由环保纸张和油墨印刷。

其他特性:
附带实例和习题。
在美国印刷。

有问题？请随时联系我们的客户服务团队，他们会解答您的所有问题。"
空气净化器,"规格:
尺寸：15'' x 15'' x 20''。

为什么我们热爱它:
我们的空气净化器采用了先进的HEPA过滤技术，能有效去除空气中的微粒和异味，为您提供清新的室内环境。

材质与护理:
清洁时使用干布擦拭。

构造:
由塑料和电子元件制成。

其他特性:
三档风速，附带定时功能。
在德国制造。

有问题？请随时联系我们的客户服务团队，他们会解答您的所有问题。"
陶瓷保温杯,"规格:
容量：350ml。

为什么我们热爱它:
我们的陶瓷保温杯设计优雅，保温效果好，是办公室和户外活动的理想伴侣。

材质与护理:
可以手洗或洗碗机清洗。

构造:
由高品质陶瓷和不锈钢制成。

其他特性:
有多种颜色可选。
在中国制造。

有问题？请随时联系我们的客户服务团队，他们会解答您的所有问题。"
宠物自动喂食器,"规格:
尺寸：14'' x 9'' x 15''。

为什么我们热爱它:
我们的宠物自动喂食器可以定时定量投放食物，让您无论在家或外出都能确保宠物的饮食。

材质与护理:
可用湿布清洁。

构造:
由塑料和电子元件制成。

其他特性:
配备LCD屏幕，操作简单。
可以设置多次投食。
在美国制造。

有问题？请随时联系我们的客户服务团队，他们会解答您的所有问题。"
